date,inflation_rate
"2022-01-01",5.7
"2022-02-01",5.7
"2022-03-01",5.9
"2022-04-01",5.9
"2022-05-01",6.5
"2022-06-01",7.4
"2022-07-01",7.8
"2022-08-01",7.6
"2022-09-01",7.5
"2022-10-01",7.6
"2022-11-01",7.4
"2022-12-01",7.2
"2023-01-01",6.9
"2023-02-01",7.0
"2023-03-01",7.1
"2023-04-01",6.8
"2023-05-01",6.3
"2023-06-01",5.4
"2023-07-01",4.7
"2023-08-01",4.8
"2023-09-01",5.4
"2023-10-01",5.9
"2023-11-01",5.5
"2023-12-01",5.1
"2024-01-01",5.3
"2024-02-01",5.6
"2024-03-01",5.3
"2024-04-01",5.2
"2024-05-01",5.2
"2024-06-01",5.1
"2024-07-01",4.6
"2024-08-01",4.4
"2024-09-01",3.8
"2024-10-01",2.8
"2024-11-01",2.9
"2024-12-01",3.0
"2025-01-01",3.2
"2025-02-01",3.2
"2025-03-01",2.7
"2025-04-01",2.8
"2025-05-01",2.8